Comment ID,Message,Updated At,Nickname,Platform,Stock Name
105017230,"오늘은 모두 숏 쳐서 다 돈 벌겠지요
엔비2배 숏도 있으니 올인해서 10프로 이상
벌 생각 하겠죠

주식이 그렿게 움직이나요?",2025-04-02T15:30:06+09:00,가자200프로,toss,nvidia
105015860,"오늘 7퍼 이상 개폭락 할 것 같음
어제 본장에 거래량 줄어들고 매수세도 약하고
관세 발표 고위험 리스크가 있어서
어제 앱장부터 내리막길만 이어지는중",2025-04-02T15:17:39+09:00,고로케빵,toss,nvidia
105015564,오늘도 번지 시작 ~~!!  한결 같은  엔비의  차트는 늘 그래왔다.  장투만이 살길이다.  멀리 봐요.😂😅😅🥶🥶,2025-04-02T15:15:21+09:00,호수위의달빛그림자,toss,nvidia
105015148,"1) 대만 관세유예면 크게 반등 할 것이고
2) 대만 관세가 상대적으로 다른국가(특히 주요경쟁국인 한국) 보다 약하면 반등할 것이고
3) 대만 줬되라고 줘패버리면 TSMC 미국공장 가동까지 하락조정 올 거 같다고 생각함.

중국은 이미 우회구입하고 있고 고성능칩 수출금지라서 관세 영향에 상대적으로 덜 타격입을거 같아요.

대만 줘패버리면 대만 내 친중세력이 지지받고 친중정권 넘어가면 동아시아 미국입지에 큰 타격을 입을 것 같으니 2배 롱 포지션 잡음 누가 한강물 들어가는지 쇼부다!",2025-04-02T15:12:32+09:00,탐욕스러운판타,toss,nvidia
105012796,https://www.autodaily.co.kr/news/articleView.html?idxno=529665,2025-04-02T14:57:29+09:00,내돈빛삭,toss,nvidia
105012700,또 왜이래,2025-04-02T14:57:10+09:00,한방치료사,toss,nvidia
105009482,"1. 퀀텀 컴퓨팅(QUBT), 계약 체결 소식 및 일년 중 가장 큰 광자 행사인 OFC 50 전시회 참가, 미국 빅테크 (엔비디아, 구글, MS, 메타, 오라클 등)와 중국 빅테크(화웨이,알리바바 등), 세계 유명 연구소 및 대학기관 참여.
최근 회사는 인수 & 합병 전문 임원을 영입.

2. 라인, 기술 및 인력 모두 일본에게 넘어가

3. 이재명 테마주, 오늘도 상. 흥미진진.

- 폭탄 돌리기의 결말은?

4. LG전자, 인도 IPO 임박, 4월 말 예정.

- 너네 완전 문어발이라며?

5. K조선, LNG 운반선 점유율 52% 압도적

- 크으, 주모~여기 국뽕 막걸리 한사발 더.

6. 양자 컴퓨팅 혁명의 시작? 반 얼음, 반 불의 신물질 상태 발견.

- 양자 기사 끊임없이 나오는 걸로 봐서 분명 세력이 롱 작업 칠 거 같단 말이지...🤔🤔",2025-04-02T14:31:36+09:00,목포낭만검객부캐,toss,nvidia
105008550,"엔비도 이제 맛탱이 갔나보네요.  데이장에 왔다리갔다리 무빙도 거의없네요
하락 무빙은 강하군요
악재가 터졌는데 신영증권 벨류 매력적 추천이네요
이러면 개폭락인데....",2025-04-02T14:23:58+09:00,황당한나스닥,toss,nvidia
105005158,우하향ㅋ,2025-04-02T13:58:22+09:00,콜드부인,toss,nvidia
105004094,고점에 사서 미칠거같아요 정말,2025-04-02T13:50:23+09:00,강남웅니,toss,nvidia
105002474,"소문난 잔치에 먹을거없듯이.. 
관세 영향도 선반영으로 큰 하락없길!
싸다싸 엔비🥰",2025-04-02T13:36:23+09:00,파란불에절때매도를누르지마,toss,nvidia
105001508,여기에 로우스 골드만삭스 qqqm 추가인데 잘 투자하고 있는거 맞나요?,2025-04-02T13:26:42+09:00,고혜준,toss,nvidia
105001266,"관세=> 금리인하 명분 쌓기중

트럼옹이 만족할 금리때까지 금리 인하 해야 관세 딜 멈춤.

한마디로 지금은 관망 및 존버타임",2025-04-02T13:23:50+09:00,2억모아보자,toss,nvidia
105000956,"지금 돈있다면 계속 추매!!!!

이익은 계속 성장하고 per. fwd per은 역대급으로 계속 낮아지는중

이러다 뽐뿌받으면 180까지 올라도 이상하지 않을만큼
GPU는 잘팔리고 있습니다.",2025-04-02T13:20:01+09:00,SoXl도해봤겠네요,toss,nvidia
104999916,"관세발표전 선반영 4퍼센트 하락후
관세발표 대만 상대적으로 적은 관세
TSMC 미국공장 생산분 한하여 무관세

-> 엔비디아 생산 가격이 시장의 예상에 비해 낮음

10퍼 주가상승",2025-04-02T13:09:57+09:00,탐욕스러운판타,toss,nvidia
104999200,이렇게 재미있는데?,2025-04-02T13:02:58+09:00,마망다,toss,nvidia
104999100,우쭈쭈 내랴가라 내일 점심값벌게 ㅋ,2025-04-02T13:02:16+09:00,서산큰형,toss,nvidia
104999038,"그냥 -20만원 기부한다 생각하고 팔아버릴까,,, 스트레스 받네요 ㅜ",2025-04-02T13:01:38+09:00,채원스,toss,nvidia
104998512,먼저 상한선 관세 내지른다고 하니 알아서 판단 ㄱ,2025-04-02T12:56:13+09:00,김치디텍터,toss,nvidia
104998458,과연 오눌 지나가고 나면 지옥일꺼요? 천국일까요? 천국이면 좋겠네요 ㅜㅜ,2025-04-02T12:55:41+09:00,고혜준,toss,nvidia
104998300,이놈은 잡주 입니다,2025-04-02T12:54:17+09:00,미국주식하면부자됨,toss,nvidia
104990792,애플 시총 한 번만 더 넘어보자,2025-04-02T11:33:26+09:00,마이너스의코인,toss,nvidia
104990084,스껄,2025-04-02T11:27:13+09:00,찍찍햄스터,toss,nvidia
104989258,올라갈 겁니다 힘내십쇼,2025-04-02T11:19:51+09:00,한방치료사,toss,nvidia
104989128,파란게 패시브냐,2025-04-02T11:18:40+09:00,경상도의짝귀,toss,nvidia
104989004,후,2025-04-02T11:17:27+09:00,엔비디아신이다,toss,nvidia
104987718,"엔비디아가 2022~2024년도 테슬라처럼
3년동안 전고점을 회복못하고 50달러를 가면?",2025-04-02T11:05:52+09:00,231207,toss,nvidia
104987188,"오늘도 행복한하루 보내십쇼
😊",2025-04-02T11:00:38+09:00,ZOMBIEDIA,toss,nvidia
104985386,"🖊️주요 내용:

1️⃣Raymond James 기술 영업팀 견해
• Nvidia 및 AI 관련 수요 강력, 둔화 조짐 없음, 2025년까지 가시성 양호
• GB300 생산, 7월 본격화 예상, 3분기·4분기 실적에 긍정적 기여 가능성
• AI 시장 모멘텀 지속으로 Nvidia의 성장 전망 낙관

2️⃣Oppenheimer 아시아 채널 체크 결과
• AI 분야 강력한 성장, CSP 및 하이퍼스케일러 지출 확대 주도
• 공급망 병목 완화 추세, TSMC의 AI 가속기 CAGR 40% 이상 전망
• GB300(Ultra) 긍정적 피드백, AMD MI350 동시 출시 예정, CoWoS 수요 여전히 높음

3️⃣산업 및 경쟁 동향
• Nvidia GB300, TSMC CoWoS 기술 기반으로 공급망 긍정적 반응 확보
• AMD MI350, 경쟁 구도 강화하며 2025년 시장 진입 예상
• 클라우드 및 하이퍼스케일러 투자 확대, AI 가속기 수요 지속 견인 전망

📢 nestock 코멘트

Raymond James와 Oppenheimer의 분석은 Nvidia의 AI 수요 강세와 GB300 생산 가속화가 2025년 실적에 긍정적 신호임을 시사합니다. 

TSMC의 CoWoS 병목 완화와 40% 이상 CAGR은 공급망 안정화와 성장 잠재력을 뒷받침하며, AMD MI350의 출시는 경쟁 심화 가능성을 예고합니다. 투자자는 하반기 GB300 램프업과 하이퍼스케일러 지출 확대를 주목하며, Nvidia의 시장 지배력 유지 여부를 평가해야 할 시점입니다.

📈팔로우하시고 경제력 업그레이드 하세요!📈",2025-04-02T10:45:22+09:00,nestock,toss,nvidia
104984902,전 138층이에요… 밍밍😭,2025-04-02T10:40:53+09:00,QWER시연,toss,nvidia
104984752,예전 어 형이야는 어디간갸,2025-04-02T10:39:38+09:00,공삼추,toss,nvidia
104982560,"반도체의 시대도 
엔비의 시대도. 완전 하락장",2025-04-02T10:19:44+09:00,하루5만한달100만,toss,nvidia
104981678,"엔비디아 주가가 왜 올라야 하나요?
궁금합니다",2025-04-02T10:12:54+09:00,EGODCOIN,toss,nvidia
104979746,"트럼프가 관세로 노리는게 뭐가 있을까
① 관세↑ 증시↓ 연준 금리↓ 국채가격↑ 국채수익률↓ 미정부의 이자부담↓
② 관세 카드로 타국에 국채 강매?
③ 관세↑ 미 국내 제조업↑

근데 그럼 인플레이션율은 포기하는 거 아닌가
① 연준 금리↓ 인플레이션율↑
② 관세↑ 수입가↑ 인플레이션율↑

어짜피 관세 올리면 인플레이션율 올라갈 거
금리인하 해주면 관세 줄여주겠다고
연준한테 딜 치는 건가..

위처럼 가정한다면, 난 뭘 하지..
① 금리인하 할 때까지 계속 땡깡 부릴테니, 금리인하 전까지는 숏..
② 금리인하 하면 환율 내려갈테니, 금리인하 전에 원화로 환전..

그래서 언제 인하하는데.. 파월이 진짜 져주긴 한데..?",2025-04-02T09:58:27+09:00,여백l,toss,nvidia
104979288,통곡의 벽  110,2025-04-02T09:54:25+09:00,내가이럴줄,toss,nvidia
104979276,이건  계속  거래들    하네,2025-04-02T09:54:21+09:00,나는거,toss,nvidia
