Comment ID,Message,Updated At,Nickname,Platform,Stock Name
105018700,"솔까 무섭긴함
오를수도있고 바닥에 바닥 칠수도있음
오르던 내리던 탄핵 까지 버티면 그만이라 걍 냅둠",2025-04-02T15:47:55+09:00,응니말맞아,toss,samsung
105018578,리스크가 너무 많다,2025-04-02T15:46:41+09:00,세균맨임,toss,samsung
105018430,"내일이 지옥일지 천국일지..
럼프형 살려주세요 ㅠㅠ",2025-04-02T15:44:37+09:00,적정선,toss,samsung
105018356,6시까지 거래 가능아닌가여,2025-04-02T15:43:32+09:00,불꽃이슬,toss,samsung
105018282,까만불이나  파란불로마감하기만해바라,2025-04-02T15:42:33+09:00,네이놈돌쇠야,toss,samsung
105017838,오늘도 삼전은 휴장임,2025-04-02T15:37:08+09:00,Kcgkcc,toss,samsung
105017780,지사주로만 버틴건가,2025-04-02T15:36:17+09:00,잔고계엄령,toss,samsung
105017720,내일 오르면 추격 매수 해야징ㅋ 오늘은 타점이 도저히 안나옴,2025-04-02T15:35:36+09:00,푸딩냥콩돌이몽실토끼뽀짝냥냥펀,toss,samsung
105017380,본전만하고.다시는삼성쳐다보지안는다,2025-04-02T15:31:33+09:00,은돌짱,toss,samsung
105017274,삼성힘들다. 가망없음,2025-04-02T15:30:31+09:00,은돌짱,toss,samsung
105017224,1년후.70.000전자,2025-04-02T15:30:01+09:00,은돌짱,toss,samsung
105017116,정승제 사생팬 돌아옴 ㄷㄷ,2025-04-02T15:28:36+09:00,인생잔망,toss,samsung
105017104,30.000전자가자,2025-04-02T15:28:28+09:00,은돌짱,toss,samsung
105017052,40.000전자가자,2025-04-02T15:28:03+09:00,은돌짱,toss,samsung
105016264,올라라 넘 힘들다 62층,2025-04-02T15:20:54+09:00,힘빼라고라,toss,samsung
105015886,4일 만 바라보는건가? 엄청 떨어질 확율높은데,2025-04-02T15:17:51+09:00,추드루,toss,samsung
105015804,"63000~4000원에 팔지 왜그러냐 
조금 손해보더라도 팔고  재진입해서 이익 보는 사람도 있던데  원금 찾으려다 더 싼가격에 팔게 되는분도 꽤 계시던데 ? 삼전 평균은 4~5만이고  21~23년도에 만  외국이랑 합병 합작 애기 나와 외인이 많이 샀는데  더오르줄알고 떨어질때 쯤 모르고 산사람 만은듯  상장이후 10만 간적이 없다",2025-04-02T15:17:19+09:00,고령34,toss,samsung
