raw_text,text_tfidf,text_bert,time,label
﻿﻿절벽으로 밀기.직전!!,절벽으로 밀기직전,절벽으로 밀기.직전!!,2025-04-02T15:26:15+09:00,1
﻿﻿공매도 우량주,공매도 우량주,공매도 우량주,2025-04-02T14:07:25+09:00,0
﻿﻿좀 가보자!!,좀 가보자,좀 가보자!!,2025-04-02T13:50:25+09:00,2
﻿﻿안녕하세요,안녕하세요,안녕하세요,2025-04-02T13:40:42+09:00,1
﻿﻿지지부진 왜이래..,지지부진 왜이래,지지부진 왜이래..,2025-04-02T13:24:17+09:00,0
﻿﻿다시 오늘 20가려나,다시 오늘 20가려나,다시 오늘 20가려나,2025-04-02T12:51:41+09:00,1
﻿﻿이때가 얼마전인데,이때가 얼마전인데,이때가 얼마전인데,2025-04-02T12:43:20+09:00,1
﻿﻿ㅁㅇㅂ,,ㅁㅇㅂ,2025-04-02T12:30:04+09:00,1
﻿﻿오늘 공매도 때문인가요?,오늘 공매도 때문인가요,오늘 공매도 때문인가요?,2025-04-02T12:00:04+09:00,0
﻿﻿장투만 하다가 단타 테스트 했는데 ㅋㅋㅋ 이거 수 수수료가 너무 많아서 안되겠네,장투만 하다가 단타 테스트 했는데 이거 수 수수료가 너무 많아서 안되겠네,장투만 하다가 단타 테스트 했는데 ㅋㅋㅋ 이거 수 수수료가 너무 많아서 안되겠네,2025-04-02T11:36:02+09:00,0
﻿﻿줄먹,줄먹,줄먹,2025-04-02T11:24:10+09:00,1
﻿﻿배당금을 언제쯤줄까요,배당금을 언제쯤줄까요,배당금을 언제쯤줄까요,2025-04-02T11:14:57+09:00,1
﻿﻿생각보다 관세가 적어도 관세는 관세라서 안떨어질수가 없음..,생각보다 관세가 적어도 관세는 관세라서 안떨어질수가 없음,생각보다 관세가 적어도 관세는 관세라서 안떨어질수가 없음..,2025-04-02T11:14:14+09:00,0
﻿﻿평단208000원 줄먹 안하며 존버하니까 계속 마이너스네요 ㅠㅜ,평단208000원 줄먹 안하며 존버하니까 계속 마이너스네요,평단208000원 줄먹 안하며 존버하니까 계속 마이너스네요 ㅠㅜ,2025-04-02T11:13:08+09:00,1
﻿﻿20무조건간다잇,20무조건간다잇,20무조건간다잇,2025-04-02T11:05:20+09:00,2
﻿﻿탈출,탈출,탈출,2025-04-02T10:53:35+09:00,0
﻿﻿0하나가 더붙었으면!..,0하나가 더붙었으면,0하나가 더붙었으면!..,2025-04-02T10:49:09+09:00,1
﻿﻿가좌,가좌,가좌,2025-04-02T10:47:19+09:00,1
﻿﻿오늘 좀 버티는거 같으니 추매 들어가봅니다,오늘 좀 버티는거 같으니 추매 들어가봅니다,오늘 좀 버티는거 같으니 추매 들어가봅니다,2025-04-02T10:45:02+09:00,0
﻿﻿고점에샀으니 슬슬 올라가야지,고점에샀으니 슬슬 올라가야지,고점에샀으니 슬슬 올라가야지,2025-04-02T09:57:09+09:00,2
﻿﻿닉스는 칩스법 돈 안줘도 투자금이 6000억이랬나? ..별 영향 없을 거 같은디..,닉스는 칩스법 돈 안줘도 투자금이 6000억이랬나 별 영향 없을 거 같은디,닉스는 칩스법 돈 안줘도 투자금이 6000억이랬나? ..별 영향 없을 거 같은디..,2025-04-02T09:48:37+09:00,1
﻿﻿197000 정도 지지하면 목표가 215000,197000 정도 지지하면 목표가 215000,197000 정도 지지하면 목표가 215000,2025-04-02T09:47:48+09:00,2
﻿﻿아 닉스형 힘내봐   5프로만 먹자구,아 닉스형 힘내봐 5프로만 먹자구,아 닉스형 힘내봐 5프로만 먹자구,2025-04-02T09:43:29+09:00,1
﻿﻿오늘은 19.8이 기준인가,오늘은 198이 기준인가,오늘은 19.8이 기준인가,2025-04-02T09:31:19+09:00,1
﻿﻿미친듯이 떨어지겠구만ㅠㅠ,미친듯이 떨어지겠구만,미친듯이 떨어지겠구만ㅠㅠ,2025-04-02T09:24:16+09:00,2
﻿﻿코스피가 좀 박고 있으니 조심,코스피가 좀 박고 있으니 조심,코스피가 좀 박고 있으니 조심,2025-04-02T09:20:50+09:00,1
﻿﻿나 진짜 빨리 나가고 싶어요ㅠㅠ,나 진짜 빨리 나가고 싶어요,나 진짜 빨리 나가고 싶어요ㅠㅠ,2025-04-02T09:15:56+09:00,1
﻿﻿오늘213000원은 무리겠죠?,오늘213000원은 무리겠죠,오늘213000원은 무리겠죠?,2025-04-02T09:14:49+09:00,1
