raw_text,text_tfidf,text_bert,time
﻿﻿너무조아,너무조아,너무조아,2025-04-01T22:49:21+09:00
﻿﻿얜 그냥 지린다.,얜 그냥 지린다,얜 그냥 지린다.,2025-04-01T00:12:43+09:00
﻿﻿그냥 나스닥 안좋으면 얘가 방어하네,그냥 나스닥 안좋으면 얘가 방어하네,그냥 나스닥 안좋으면 얘가 방어하네,2025-04-01T22:57:56+09:00
﻿﻿든든한 내새꾸 ㅎ,든든한 내새꾸,든든한 내새꾸 ㅎ,2025-04-01T10:27:10+09:00
﻿﻿애멘~~🙏🏼,애멘,애멘,2025-04-01T01:03:17+09:00
﻿﻿나스닥 상승한다 애플 떨어질듯,나스닥 상승한다 애플 떨어질듯,나스닥 상승한다 애플 떨어질듯,2025-04-02T00:26:33+09:00
﻿﻿개미들은 가라! 사과의 봄은 온다이잇!,개미들은 가라 사과의 봄은 온다이잇,개미들은 가라! 사과의 봄은 온다이잇!,2025-04-01T04:53:34+09:00
﻿﻿오늘 기대할게??,오늘 기대할게,오늘 기대할게??,2025-04-01T21:23:38+09:00
﻿﻿오늘 휴장인가요?,오늘 휴장인가요,오늘 휴장인가요?,2025-04-02T00:09:23+09:00
﻿﻿팔게,팔게,팔게,2025-04-01T20:38:08+09:00
﻿﻿시티 리서치 분석가들은 투자자들이 인공지능을 활용한 Siri 업그레이드 출시에 대한 기대치를 재설정하면서 Apple 주가가 최대 300달러까지 상승할 수 있다고 예측했다!,시티 리서치 분석가들은 투자자들이 인공지능을 활용한 Siri 업그레이드 출시에 대한 기대치를 재설정하면서 Apple 주가가 최대 300달러까지 상승할 수 있다고 예측했다,시티 리서치 분석가들은 투자자들이 인공지능을 활용한 Siri 업그레이드 출시에 대한 기대치를 재설정하면서 Apple 주가가 최대 300달러까지 상승할 수 있다고 예측했다!,2025-04-02T00:06:43+09:00
﻿﻿역시 든든해 애플,역시 든든해 애플,역시 든든해 애플,2025-04-01T13:43:25+09:00
﻿﻿한국인이면 애플 주식은 사지마셩ㆍ 중국 외 다 기부하고도 한국엔 1윈도  안하는 기업입니다,한국인이면 애플 주식은 사지마셩 중국 외 다 기부하고도 한국엔 1윈도 안하는 기업입니다,한국인이면 애플 주식은 사지마셩 중국 외 다 기부하고도 한국엔 1윈도 안하는 기업입니다,2025-04-01T23:45:54+09:00
﻿﻿돌아와라,돌아와라,돌아와라,2025-04-01T07:16:44+09:00
﻿﻿언제 복구될까 돌아와 너 안 그랬잖아,언제 복구될까 돌아와 너 안 그랬잖아,언제 복구될까 돌아와 너 안 그랬잖아,2025-04-01T15:58:33+09:00
﻿﻿발담구기 입갤,발담구기 입갤,발담구기 입갤,2025-04-02T00:38:41+09:00
﻿﻿모으기도좋아요,모으기도좋아요,모으기도좋아요,2025-04-01T02:59:19+09:00
﻿﻿옆동네 개잡주 보다가 이친구 보니까 참 마음이 따뜻해진다..,옆동네 개잡주 보다가 이친구 보니까 참 마음이 따뜻해진다,옆동네 개잡주 보다가 이친구 보니까 참 마음이 따뜻해진다..,2025-04-02T00:09:36+09:00
﻿﻿소소하게,소소하게,소소하게,2025-04-01T05:13:47+09:00
﻿﻿폰팔이는 왜오름?,폰팔이는 왜오름,폰팔이는 왜오름?,2025-04-01T00:44:44+09:00
