raw_text,text_tfidf,text_bert,time
﻿﻿제가 그린 추세선 피보나치 상 중요한 자리인 106불에서 반등을 주네요. 본장에서도 중요하게 봐야하는 자리입니다.    106불이 뚫리면 105불은 더 쉽게 뚫릴 것이고 차트상 90불 직행입니다.  ⭐️ 오늘 관전 포인트: 106불 지지,제가 그린 추세선 피보나치 상 중요한 자리인 106불에서 반등을 주네요 본장에서도 중요하게 봐야하는 자리입니다 106불이 뚫리면 105불은 더 쉽게 뚫릴 것이고 차트상 90불 직행입니다 오늘 관전 포인트 106불 지지,제가 그린 추세선 피보나치 상 중요한 자리인 106불에서 반등을 주네요. 본장에서도 중요하게 봐야하는 자리입니다. 106불이 뚫리면 105불은 더 쉽게 뚫릴 것이고 차트상 90불 직행입니다. 오늘 관전 포인트 106불 지지,2025-03-31T09:36:29+09:00
﻿﻿예언한다 지금들어가면 후회한다,예언한다 지금들어가면 후회한다,예언한다 지금들어가면 후회한다,2025-03-28T01:21:16+09:00
﻿﻿무난한 강보합,무난한 강보합,무난한 강보합,2025-04-01T23:52:18+09:00
﻿﻿그러면 들어갈만 할거같기도..?,그러면 들어갈만 할거같기도,그러면 들어갈만 할거같기도..?,2025-03-31T23:36:22+09:00
﻿﻿황사장이 라인을 잘못탄건 오너 리스크..라고 봐도되나?ㅋㅋㅋㅋㅋㅋ아부떨어도 뭐할판에,황사장이 라인을 잘못탄건 오너 리스크라고 봐도되나아부떨어도 뭐할판에,황사장이 라인을 잘못탄건 오너 리스크..라고 봐도되나?ㅋㅋㅋㅋㅋㅋ아부떨어도 뭐할판에,2025-04-01T14:30:57+09:00
﻿﻿진짜로,진짜로,진짜로,2025-03-28T15:57:03+09:00
﻿﻿테슬라는 내린만큼 올리는데 이 쉑은,테슬라는 내린만큼 올리는데 이 쉑은,테슬라는 내린만큼 올리는데 이 쉑은,2025-04-02T01:14:03+09:00
﻿﻿테슬라 러브다이브 했네,테슬라 러브다이브 했네,테슬라 러브다이브 했네,2025-03-25T18:39:55+09:00
﻿﻿간만에 입주,간만에 입주,간만에 입주,2025-03-28T23:29:59+09:00
﻿﻿어차피 종가는 하나  지금봐도 의미없다,어차피 종가는 하나 지금봐도 의미없다,어차피 종가는 하나 지금봐도 의미없다,2025-03-28T22:34:27+09:00
﻿﻿끼에에에에에에엑,끼에에에에에에엑,끼에에에에에에엑,2025-03-31T12:52:43+09:00
﻿﻿제발... 본장때 좀 올라보자요...,제발 본장때 좀 올라보자요,제발... 본장때 좀 올라보자요...,2025-03-24T23:33:34+09:00
﻿﻿w 차트 떳냐?,w 차트 떳냐,w 차트 떳냐?,2025-04-01T14:01:31+09:00
﻿﻿예상대로 가네요.... 오늘까진 하락분위기로 생각이 들고... 이제 분위기 반전될꺼같네여...,예상대로 가네요 오늘까진 하락분위기로 생각이 들고 이제 분위기 반전될꺼같네여,예상대로 가네요.... 오늘까진 하락분위기로 생각이 들고... 이제 분위기 반전될꺼같네여...,2025-04-01T17:08:34+09:00
﻿﻿얘는 개잡주가 맞다 ㅇㅇ..,얘는 개잡주가 맞다,얘는 개잡주가 맞다 ㅇㅇ..,2025-03-31T19:44:19+09:00
﻿﻿아 몰라~언젠가는 오른다며 해줘~~~,아 몰라언젠가는 오른다며 해줘,아 몰라언젠가는 오른다며 해줘,2025-03-28T23:21:55+09:00
﻿﻿.?,,.?,2025-03-27T21:32:14+09:00
﻿﻿일주일 연속 하락해 10퍼 이상 빠졌는데도 현재 0.1% 상승했다고 기뻐하고 있는 내가 싫다.....,일주일 연속 하락해 10퍼 이상 빠졌는데도 현재 01 상승했다고 기뻐하고 있는 내가 싫다,일주일 연속 하락해 10퍼 이상 빠졌는데도 현재 0.1 상승했다고 기뻐하고 있는 내가 싫다.....,2025-04-02T00:08:13+09:00
﻿﻿킹받네 ㅋㅋㅋㅋㅋ,킹받네,킹받네 ㅋㅋㅋㅋㅋ,2025-03-24T17:02:10+09:00
﻿﻿이정도 떨어지니 이제 드립치면서 놀 수도 없겠네.. 트럼프 누가 좀 막아라,이정도 떨어지니 이제 드립치면서 놀 수도 없겠네 트럼프 누가 좀 막아라,이정도 떨어지니 이제 드립치면서 놀 수도 없겠네.. 트럼프 누가 좀 막아라,2025-03-31T22:44:04+09:00
﻿﻿추매 더 해줄게,추매 더 해줄게,추매 더 해줄게,2025-03-26T23:58:52+09:00
﻿﻿오늘도볼거없네ㆍ잠이나 자야겠다,오늘도볼거없네잠이나 자야겠다,오늘도볼거없네잠이나 자야겠다,2025-04-01T23:03:38+09:00
﻿﻿헉헉,헉헉,헉헉,2025-03-27T12:14:46+09:00
﻿﻿빼게해줘...,빼게해줘,빼게해줘...,2025-03-31T09:06:47+09:00
﻿﻿끔찍하네요,끔찍하네요,끔찍하네요,2025-03-27T17:16:38+09:00
﻿﻿평단 121인데  빨간불 파란불만 50번 넘게본듯  경찰차냐,평단 121인데 빨간불 파란불만 50번 넘게본듯 경찰차냐,평단 121인데 빨간불 파란불만 50번 넘게본듯 경찰차냐,2025-03-24T23:00:22+09:00
﻿﻿이걸 애플이 다시 사주네 ㅋㅋ  전에 사기아닌 사기치다 관계 빠그라진걸로 아는데,이걸 애플이 다시 사주네 전에 사기아닌 사기치다 관계 빠그라진걸로 아는데,이걸 애플이 다시 사주네 ㅋㅋ 전에 사기아닌 사기치다 관계 빠그라진걸로 아는데,2025-03-26T10:09:17+09:00
﻿﻿황사장아 나와서 뭐라도 해ㅠㅠ 춤이라도 춰라,황사장아 나와서 뭐라도 해 춤이라도 춰라,황사장아 나와서 뭐라도 해ㅠㅠ 춤이라도 춰라,2025-03-27T22:35:45+09:00
﻿﻿부자대세요~,부자대세요,부자대세요,2025-03-25T20:45:55+09:00
